layer,cos,shift_norm,shift_norm_over_median_norm,proj_on_dir,proj_se,gap_test,gap_all,frac_gap_closed_test,frac_gap_closed_all,cos_ft_minus_base_vs_bella_minus_base,random_dir_abs_cos_p95,is_global_attention
11,0.3974182605743408,1.0479167699813843,0.007030299864709377,0.4164612591266632,0.004116098862141371,14.267984390258789,14.656072616577148,0.029188513789725947,0.02841561105910552,0.40640389919281006,0.028748247725840125,True
12,0.39655280113220215,1.1619161367416382,0.006614073179662228,0.46076110005378723,0.005132070276886225,14.718679428100586,15.065316200256348,0.0313045135811649,0.030584230289567173,0.4052874743938446,0.035343184641354546,False
13,0.388783723115921,1.4675449132919312,0.008658915758132935,0.5705575942993164,0.007923007011413574,14.531843185424805,14.695565223693848,0.03926257578058481,0.03882515477386328,0.3928307592868805,0.03309068737931778,False
14,0.37673071026802063,2.503284215927124,0.01648695580661297,0.9430640339851379,0.01406659185886383,14.451501846313477,14.373421669006348,0.06525716455038962,0.06561165849734187,0.37795889377593994,0.02272945523083292,False
15,0.46071329712867737,2.4151060581207275,0.017160285264253616,1.1126714944839478,0.015763964504003525,13.220841407775879,12.99049186706543,0.0841604146185073,0.08565276094778863,0.46252259612083435,0.041761618175851827,False
16,0.4773205816745758,4.139358043670654,0.032193928956985474,1.9758007526397705,0.026677610352635384,16.285186767578125,16.061979293823242,0.12132502874166327,0.12301103845897622,0.4789714813232422,0.026836580423910752,False
17,0.46379950642585754,3.6449062824249268,0.03699649125337601,1.6905057430267334,0.020290015265345573,13.811454772949219,13.782913208007812,0.12239881828652237,0.12265228094482644,0.4665936231613159,0.032102448459039826,True
18,0.4282248318195343,6.5869245529174805,0.07223668694496155,2.8206846714019775,0.0317511148750782,16.004718780517578,15.85435676574707,0.1762408143550498,0.17791227440371432,0.4337502717971802,0.030378240995797827,False
19,0.40796956419944763,5.835171222686768,0.07158365845680237,2.3805723190307617,0.025899037718772888,15.730294227600098,15.852907180786133,0.15133679539533668,0.150166293909551,0.4126857817173004,0.028997559535978306,False
20,0.4682321548461914,6.335257053375244,0.06983687728643417,2.9663710594177246,0.037480153143405914,16.358741760253906,16.456106185913086,0.18133247060754892,0.18025959640179193,0.4740770161151886,0.04100268811304042,False
